Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5
qNet-dvdtmax-vrest-APD50-camax,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.198047704,0.928909953,0.733333333,-3.444838376,36.78993374,-33.70973058,-10.58912843,61.52072891,28.30992664,-27.9404756
qNet-dvdtmax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.909090909,0.761904762,0.916666667,0.6,0.571428571,0.75,0.818181818,0.5,0.75,4.3999813,1.426189412,3.999988,0.440000616,0.750000437,0.30000084,0.666666667,0.571428571,0.666666667,0.206752098,0.952606635,0.733333333,-34.55136202,3.524894152,-55.42470386,25.58807508,80.11325542,-98.43496772,192.7266808
qNet-vmax-vrest-APD50-max_dv,0.8125,0.5625,0.75,0.836363636,0.841269841,0.916666667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.142854286,2.999994,0.440000616,0.535714866,0.30000084,0.666666667,0.666666667,0.666666667,0.243466395,0.909952607,0.733333333,-10.37816894,30.57517693,-64.12247286,-7.732491809,16.60008001,-36.87322098,21.05648775
qNet-vmax-vrest-APD50-CaTD50,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.785712321,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.666666667,0.221470135,0.91943128,0.733333333,-1.137957975,40.11527617,-46.61730069,-9.585957045,45.30167006,-1.913945612,11.82261286
qNet-vmax-vrest-max_dv-CaTD50,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.642857679,0.272728066,0.666666667,0.615384615,0.666666667,0.221190025,0.91943128,0.733333333,-0.837575264,40.35028961,-45.77966169,-9.634847831,46.25775869,-1.067542382,12.19804626
qNet-vmax-vrest-camax-CaTD50,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.666666667,0.222139747,0.91943128,0.733333333,-1.856942112,39.76166811,-47.7721024,-11.33310977,47.60885166,-5.433828425,9.017197673
qNet-vmax-APD50-max_dv-carest,0.8125,0.5625,0.75,0.836363636,0.841269841,0.916666667,0.6,0.428571429,0.75,0.909090909,0.714285714,0.666666667,6.599938401,2.49999475,2.999994,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.251462455,0.909952607,0.733333333,-12.61560502,27.60658317,-70.27898567,-7.997591668,-51.41591739,25.32139052,11.38651396
qNet-vrest-APD50-camax-CaTD50,0.8125,0.5625,0.875,0.890909091,0.793650794,0.9375,0.6,0.571428571,0.75,0.818181818,0.666666667,0.833333333,4.3999813,1.9999965,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.185470875,0.943127962,0.733333333,-8.24219224,31.45081214,-30.51482444,65.03685539,60.32077067,-53.7964569,-18.21867824
qNet-vrest-max_dv-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.785712321,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.190888862,0.933649289,0.733333333,-21.93983532,18.12003864,-42.96725348,50.84965997,11.60324306,-39.12803974,84.2789521
qNet-vrest-camax-carest-CaTD50,0.8125,0.5,0.75,0.854545455,0.761904762,0.916666667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999994,0.440000616,0.80000028,0.272728066,0.666666667,0.5,0.666666667,0.273090879,0.914691943,0.733333333,-5.750523048,35.61789736,-39.32286797,57.47314278,38.2171949,-60.52374923,19.00275921
qNet-APD50-max_dv-camax-CaTD90,0.8125,0.5,0.75,0.836363636,0.777777778,0.90625,0.6,0.428571429,0.75,0.909090909,0.6,0.666666667,6.599938401,1.49999825,2.999992,0.440000616,0.71428619,0.333334222,0.666666667,0.545454545,0.6,0.262576099,0.914691943,0.733333333,-11.35950212,31.04537799,-75.66499472,-130.6602399,37.75067858,77.56393151,79.21122535
dvdtmax-vmax-max_dv-CaTD50-CaTD90,0.75,0.4375,0.75,0.909090909,0.761904762,0.916666667,0.8,0.142857143,0.75,0.636363636,0.714285714,0.75,2.749995188,1.142856571,2.999992,0.275000997,0.952381016,0.333334222,0.666666667,0.25,0.6,0.258463129,0.938388626,0.733333333,-3.202264665,10.0233015,-27.54452124,40.07957591,8.064519564,-1.255235467,15.28168407
dvdtmax-vrest-APD50-max_dv-camax,0.75,0.4375,0.75,0.927272727,0.80952381,0.916666667,0.8,0,1,0.727272727,0.857142857,0.666666667,2.933326244,8.00E-06,2.999994,0.275000997,1.14285698,1.50E-06,0.666666667,0,0.666666667,0.38420859,0.938388626,0.733333333,5.607745987,15.42516592,-58.23974263,175.3452753,38.25513569,46.12808935,-127.689467
