Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.890909091,0.80952381,0.947916667,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.785712321,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.184563033,0.947867299,0.766666667,-31.56613799,8.019467783,-0.68303578,115.2509887,186.2058986,-71.54823222,-62.32382654,-7.879025841,-80.34851322,107.2219908
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.80952381,0.927083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.535714866,0.272728066,0.666666667,0.666666667,0.727272727,0.228201918,0.91943128,0.733333333,-31.76738459,6.943846902,-38.26583612,-16.24814042,8.328069869,51.12304721,-6.397947938,29.57253105,-51.0421521,106.81318
qNet-dvdtmax-vmax-vrest-APD50-camax-carest-CaTD50,0.8125,0.5625,0.8125,0.836363636,0.825396825,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.571429143,0.30000084,0.666666667,0.666666667,0.666666667,0.218758875,0.91943128,0.733333333,-22.31504093,17.9388466,-25.44781342,-16.40529148,8.264648266,75.25347303,90.89494895,-63.18916323,-29.42344834,-33.77351334
qNet-dvdtmax-vmax-vrest-APD90-camax-carest-CaTD50,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.514286297,0.272728066,0.666666667,0.666666667,0.727272727,0.220146392,0.91943128,0.733333333,-20.56103435,19.16248905,-45.24830421,-14.25683031,8.283572628,44.1866613,50.04050246,-40.18308073,-18.46116268,-22.46240469
qNet-dvdtmax-vmax-vrest-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.825396825,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.514286297,0.272728066,0.666666667,0.666666667,0.666666667,0.223539503,0.924170616,0.733333333,-32.91716726,6.378979948,-39.82808711,-17.26452383,10.29402827,49.93969909,36.53776146,-15.77654209,-54.64822711,93.63101235
qNet-dvdtmax-vmax-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.927083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.999997667,3.999988,0.440000616,0.500000583,0.30000084,0.666666667,0.666666667,0.666666667,0.239126971,0.91943128,0.733333333,-22.89929943,15.93567053,-72.79258992,-9.670476116,10.0666183,-125.1103072,115.4465678,-0.206453385,-22.58183034,32.90110893
qNet-dvdtmax-vmax-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.514286297,0.272728066,0.666666667,0.666666667,0.727272727,0.208926589,0.928909953,0.733333333,-34.32876427,4.037590833,-71.65477181,-4.632100519,5.908460526,-121.9878311,106.0049024,43.11599672,-61.31709654,122.3937045
qNet-dvdtmax-vmax-APD50-max_dv-camax-CaTD50-CaTD90,0.8125,0.5,0.75,0.818181818,0.825396825,0.90625,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.9999965,2.999992,0.440000616,0.653061621,0.333334222,0.666666667,0.571428571,0.6,0.261762042,0.90521327,0.733333333,-11.85920763,30.9495423,-77.40567733,-9.539360276,1.674400618,-132.6878618,42.38518013,66.57340663,3.129185805,63.21008517
qNet-dvdtmax-vmax-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.80952381,0.9375,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,4.3999813,1.714283571,4.499979,0.440000616,0.666667056,0.30000084,0.666666667,0.545454545,0.666666667,0.173647918,0.962085308,0.733333333,-41.53733438,-1.063732748,-70.91116055,40.51319097,-13.90030106,20.5397589,-58.81076007,120.6542901,-132.4935417,203.4347904
qNet-dvdtmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.890909091,0.777777778,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.599938401,1.714284286,4.499979,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.196234143,0.943127962,0.733333333,-28.59178479,10.26010606,-43.88868978,6.181979291,45.81846005,-12.94359964,29.09571025,16.10010996,-59.50237066,124.1801268
qNet-vmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.714284286,4.499979,0.440000616,0.571429429,0.272728066,0.666666667,0.615384615,0.727272727,0.195480297,0.933649289,0.733333333,-39.99595693,0.830929191,-76.47834059,5.816094276,-110.1220319,114.0962956,-26.50617795,60.94926677,-83.77717102,137.5197601
qNet-vrest-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.571429143,0.272728066,0.666666667,0.666666667,0.727272727,0.201020847,0.928909953,0.733333333,-32.87243006,6.475000566,-67.03245426,12.59301429,-80.21610384,83.72623231,-19.64531368,44.02688801,-63.3270533,109.1198296
dvdtmax-vmax-vrest-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.201117907,0.928909953,0.733333333,-42.90104168,-2.889334135,-25.72054924,12.18124616,109.7848238,176.2126621,-55.00343137,-70.14226388,-94.11214211,126.4603312
