Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7
qNet-dvdtmax-APD50-max_dv-camax-carest-CaTD90,0.8125,0.5,0.75,0.836363636,0.825396825,0.916666667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.9999965,2.999994,0.440000616,0.642857679,0.30000084,0.666666667,0.6,0.666666667,0.236768208,0.914691943,0.733333333,-10.0664636,31.77273978,-75.60442178,-10.23954963,-135.0310335,43.59438323,51.09322979,24.96368101,70.73566469
qNet-dvdtmax-APD50-max_dv-camax-CaTD50-CaTD90,0.8125,0.5,0.75,0.818181818,0.825396825,0.90625,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.9999965,2.999992,0.440000616,0.666667056,0.333334222,0.666666667,0.571428571,0.6,0.264252671,0.90521327,0.733333333,-12.11992009,31.25998084,-79.25682047,-8.310555822,-133.0787576,42.15639572,66.81724211,2.776189574,63.15101236
qNet-dvdtmax-APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.30000084,0.666666667,0.615384615,0.666666667,0.198416388,0.928909953,0.733333333,-32.51644792,9.496501066,-76.10264966,-4.107782002,-90.42086162,44.44592299,72.12039824,-71.9732743,152.8305609
qNet-dvdtmax-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.73015873,0.833333333,0.6,0.285714286,1,0.818181818,0.666666667,0.666666667,5.49997525,1,2.999994,0.440000616,1,1.50E-06,0.666666667,0.363636364,0.666666667,0.315579568,0.933649289,0.733333333,-29.51836805,63.86086718,-125.0013918,16.81934983,-41.99465508,44.89358885,120.5890766,87.2625804,12.46214888
qNet-vmax-vrest-APD90-carest-CaTD50-CaTD90,0.8125,0.375,0.6875,0.927272727,0.682539683,0.833333333,0.6,0.285714286,1,0.909090909,0.666666667,0.583333333,6.599938401,0.857143286,2.39999664,0.440000616,1.071428464,1.71E-06,0.666666667,0.363636364,0.615384615,0.351548894,0.928909953,0.733333333,-27.3818619,29.88728894,-115.5214034,-10.55620395,54.72466142,-41.78217575,32.6883245,68.75281084,-5.119448653
qNet-vmax-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.571429429,0.272728066,0.666666667,0.666666667,0.727272727,0.201702815,0.928909953,0.733333333,-31.63411655,6.501758963,-71.76999441,4.156146901,-119.8755646,103.886822,40.20394879,-57.39311396,113.4062872
qNet-vmax-APD50-max_dv-camax-CaTD50-CaTD90,0.8125,0.5,0.75,0.836363636,0.80952381,0.916666667,0.6,0.428571429,0.75,0.909090909,0.6,0.666666667,6.599938401,1.714283571,2.999992,0.440000616,0.666667056,0.333334222,0.666666667,0.545454545,0.6,0.253129132,0.909952607,0.733333333,-13.00371407,30.06286435,-78.63475892,-1.147548531,-127.0293402,39.90457428,68.96181888,-4.818310548,75.22509777
qNet-vrest-APD50-APD90-max_dv-camax-CaTD50,0.8125,0.5,0.8125,0.854545455,0.793650794,0.90625,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714282857,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.615384615,0.666666667,0.218898579,0.91943128,0.733333333,-33.61243869,74.76053427,-143.5850726,51.80668545,-4.546516784,30.58188971,6.714402711,-32.99454687,-16.82507887
qNet-vrest-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.599938401,1.714284286,4.499979,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.193712049,0.933649289,0.733333333,-27.00394531,14.11965827,-39.07296684,61.78953494,45.51279939,15.17620217,-43.00868579,-54.51105926,64.34973533
qNet-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.25000075,0.666666667,0.615384615,0.727272727,0.198467201,0.933649289,0.733333333,-34.3992505,3.940736706,-48.14175636,37.6815692,-32.18079536,39.5031082,34.92369393,-70.70915094,151.0142707
qNet-APD50-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.60000056,0.30000084,0.666666667,0.615384615,0.666666667,0.192240146,0.933649289,0.733333333,-31.83344508,9.331758287,-74.05838942,-86.26463276,42.59314867,1.203104366,70.81072464,-73.11298707,154.7201995
dvdtmax-vmax-APD90-max_dv-camax-CaTD50-CaTD90,0.8125,0.375,0.6875,0.890909091,0.682539683,0.875,0.6,0.428571429,0.75,1,0.5,0.666666667,400000.5002,0.857143143,2.24999625,0.440000616,1.142856857,0.375000937,0.666666667,0.461538462,0.545454545,0.295923284,0.924170616,0.733333333,-29.54814397,30.07294185,-95.74859628,122.4257625,-32.73078649,14.66340473,10.2532967,16.8512811,46.01986331
vmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.5625,0.875,0.890909091,0.793650794,0.9375,0.6,0.571428571,0.75,0.818181818,0.6,0.833333333,4.3999813,1.9999965,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.186932863,0.943127962,0.733333333,-16.78117874,23.15997023,2.405456862,116.0806131,197.2040478,-64.36605875,-79.99702611,-45.64173331,-40.49210428
qNet-dvdtmax-vmax-vrest-APD50-camax-CaTD50,0.75,0.5625,0.8125,0.836363636,0.793650794,0.9375,0.6,0.571428571,0.75,0.818181818,0.6,0.75,3.29998735,1.92856725,3.999988,0.488889514,0.60000056,0.272728066,0.6,0.615384615,0.727272727,0.213662491,0.924170616,0.7,-16.76773479,23.74090168,-27.97269887,-17.41338146,5.294158995,70.09320049,81.14086269,-73.53005305,-29.97280491
qNet-dvdtmax-vmax-vrest-APD90-max_dv-carest,0.8125,0.5625,0.75,0.836363636,0.841269841,0.895833333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.666666667,6.599938401,2.142853714,2.999992,0.440000616,0.60000056,0.30000084,0.666666667,0.615384615,0.615384615,0.265052697,0.914691943,0.7,-21.52092547,64.72553203,-117.8318092,8.80492818,-22.61458001,70.67221879,6.38784209,1.074406388,-29.79850796
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest,0.8125,0.5625,0.75,0.836363636,0.841269841,0.916666667,0.6,0.428571429,0.75,0.818181818,0.713095238,0.666666667,4.3999813,2.49999475,2.999994,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.248339163,0.909952607,0.7,-13.23454981,27.00194491,-69.04088237,-4.059849976,-4.398194596,-53.01456126,27.42363467,0.361128974,9.261685422
qNet-dvdtmax-vmax-APD90-camax-carest-CaTD50,0.75,0.5,0.8125,0.836363636,0.761904762,0.90625,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.428570571,3.999988,0.488889514,0.761905079,0.30000084,0.6,0.5,0.666666667,0.232223795,0.914691943,0.7,-10.01210259,63.39065014,-116.8298758,14.45164331,-19.34155246,11.6384927,-77.60427411,107.371825,-24.49352915
