Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
qNet-vmax-max_dv,0.8125,0.4375,0.75,0.909090909,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,4.3999813,1.333332556,2.999994,0.440000616,0.833333528,0.30000084,0.666666667,0.5,0.666666667,0.229953113,0.938388626,0.733333333,-9.934632613,23.30339339,-41.63326723,11.71382403,4.533065748
qNet-vrest-CaTD50,0.8125,0.5,0.8125,0.854545455,0.777777778,0.927083333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.523808127,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.615384615,0.666666667,0.209351284,0.924170616,0.733333333,-3.035421368,39.5432483,-49.502165,31.88542669,7.505434867
qNet-APD50-max_dv,0.8125,0.5,0.75,0.872727273,0.761904762,0.916666667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999994,0.440000616,0.761905079,0.30000084,0.666666667,0.5,0.666666667,0.251051834,0.914691943,0.733333333,-11.33084586,23.67109051,-61.43583643,-33.74201282,15.19480176
dvdtmax-vmax-CaTD50,0.8125,0.4375,0.75,0.909090909,0.73015873,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.666666667,4.3999813,1.142856571,2.999992,0.440000616,0.952381016,0.333334222,0.666666667,0.461538462,0.6,0.283411551,0.933649289,0.733333333,-0.432047964,10.01562293,-20.97230934,31.11382044,9.7573754
dvdtmax-APD50-CaTD50,0.8125,0.5,0.8125,0.945454545,0.793650794,0.9375,1,0.142857143,0.75,0.727272727,0.833333333,0.75,3.666656889,1.999993,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.302446237,0.928909953,0.733333333,-2.295377162,1.598183458,4.358044657,9.634796593,-1.153583483
dvdtmax-APD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.777777778,0.9375,0.8,0.142857143,0.75,0.727272727,0.857142857,0.75,3.666656889,1.999993,3.999988,0.244445368,0.857143,0.30000084,0.727272727,0.25,0.666666667,0.297807748,0.928909953,0.733333333,-2.113107825,1.796625612,3.56133091,9.045498063,-1.495632424
dvdtmax-APD90-camax,0.75,0.5,0.8125,0.927272727,0.825396825,0.9375,0.8,0.285714286,0.75,0.727272727,0.833333333,0.833333333,2.933326244,2.285704,4.499979,0.275000997,0.833333528,0.30000084,0.666666667,0.4,0.666666667,0.258297858,0.933649289,0.733333333,-1.852717942,1.632919451,3.114000911,6.420904059,1.58670734
dvdtmax-APD90-carest,0.8125,0.5,0.8125,0.945454545,0.841269841,0.958333333,0.8,0.285714286,0.75,0.727272727,0.833333333,0.833333333,3.666656889,2.999986,4.499979,0.244445368,0.714286,0.272728066,0.727272727,0.444444444,0.727272727,0.232974549,0.938388626,0.733333333,-1.604968324,1.92492346,2.703867066,6.323683442,2.208707963
dvdtmax-max_dv-camax,0.75,0.5625,0.875,0.872727273,0.793650794,0.958333333,0.8,0.285714286,0.75,0.727272727,0.666666667,0.833333333,2.933326244,1.714282857,5.99997,0.275000997,0.80000028,0.272728066,0.666666667,0.444444444,0.75,0.274330923,0.90521327,0.733333333,-1.44779911,1.722057907,1.727938282,3.709985375,2.440919927
vmax-vrest-max_dv,0.6875,0.5,0.8125,0.927272727,0.841269841,0.958333333,1,0.142857143,0.75,0.545454545,0.857142857,0.833333333,2.19999736,1.142856,4.499979,1.83E-06,0.97959186,0.30000084,0.666666667,0.222222222,0.666666667,0.305994454,0.943127962,0.733333333,0.816995712,5.686160684,5.057760681,4.241163207,7.187257333
