Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
qNet-dvdtmax-APD50-APD90-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.514286297,0.250568933,0.666666667,0.666666667,0.727272727,0.224737975,0.91943128,0.733333333,-16.81414531,22.39995867,-76.26641781,1.088264748,-122.82168,107.8925275,-9.652663323,10.99972105
qNet-dvdtmax-APD50-max_dv-camax-CaTD90,0.8125,0.5,0.75,0.818181818,0.825396825,0.90625,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.9999965,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.6,0.6,0.260706919,0.909952607,0.733333333,-12.59556147,30.27844536,-78.41722452,-6.759648809,-131.0418994,41.5931819,67.04603414,67.1897789
qNet-dvdtmax-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.777777778,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,4.3999813,1.49999825,3.999988,0.440000616,0.714286071,0.30000084,0.666666667,0.545454545,0.666666667,0.186580329,0.957345972,0.733333333,-34.22899756,4.926395703,-60.79927842,44.61990347,19.71769847,40.82979801,-95.82729177,158.0332249
qNet-vmax-vrest-APD50-max_dv-CaTD50,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.785712321,3.999988,0.440000616,0.642857679,0.272728066,0.666666667,0.615384615,0.666666667,0.221824087,0.91943128,0.733333333,-1.601641189,39.74021501,-47.86142663,-9.487970587,43.83068053,-4.850083063,1.681506972,11.252589
qNet-vmax-vrest-APD50-CaTD50-CaTD90,0.8125,0.5,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.642857679,0.25000075,0.666666667,0.615384615,0.727272727,0.202520868,0.938388626,0.733333333,-28.0779467,11.06173456,-31.19698619,0.996587787,66.06514876,30.86086483,-55.68744814,119.2714344
qNet-vmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.5,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.198270442,0.933649289,0.733333333,-26.91940252,12.11885094,-39.64923309,2.390450963,52.80616422,23.26140103,-50.06840941,103.1118383
qNet-vmax-APD50-APD90-camax-CaTD50,0.8125,0.5,0.8125,0.927272727,0.825396825,0.927083333,0.8,0.428571429,0.75,0.818181818,0.714285714,0.75,4.3999813,2.142854286,3.999988,0.244445368,0.685714663,0.30000084,0.727272727,0.545454545,0.666666667,0.161301856,0.962085308,0.733333333,-26.58742349,53.64706412,-106.8659379,61.44325437,-44.91659092,112.1315696,-52.94350763,-31.50320503
qNet-vmax-APD50-APD90-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.571429429,0.272728066,0.666666667,0.615384615,0.727272727,0.207964903,0.924170616,0.733333333,-19.87608412,18.80184117,-73.30589812,5.688789731,-120.4877927,111.3435737,-19.76375727,27.08858371
qNet-vmax-APD50-max_dv-camax-carest,0.8125,0.5625,0.75,0.836363636,0.841269841,0.916666667,0.6,0.428571429,0.75,0.909090909,0.714285714,0.666666667,6.5999384,2.49999475,2.999994,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.25139836,0.909952607,0.733333333,-12.56480502,27.63712545,-70.25644213,-8.086718436,-51.45713717,25.34622076,-0.360861877,11.89407459
qNet-vmax-APD50-max_dv-camax-CaTD90,0.8125,0.5,0.75,0.836363636,0.80952381,0.90625,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.714283571,2.999992,0.440000616,0.685714663,0.333334222,0.666666667,0.545454545,0.6,0.267940196,0.909952607,0.733333333,-11.65744531,31.08189091,-78.51615995,-3.216955701,-127.2628296,38.09853918,70.12165296,69.29325188
qNet-vmax-APD50-max_dv-carest-CaTD50,0.8125,0.5625,0.75,0.836363636,0.841269841,0.916666667,0.6,0.428571429,0.75,0.909090909,0.714285714,0.666666667,6.599938401,2.49999475,2.999994,0.440000616,0.60000056,0.30000084,0.666666667,0.6,0.666666667,0.255372876,0.909952607,0.733333333,-11.2752875,28.99671923,-70.52513939,-9.498526665,-55.43473803,25.24404159,16.48909336,2.792640322
qNet-vmax-APD90-max_dv-carest-CaTD50,0.875,0.4375,0.75,0.963636364,0.73015873,0.833333333,0.6,0.285714286,1,0.909090909,0.666666667,0.666666667,8.799914201,1.285713429,2.999994,0.4000006,0.857143071,1.50E-06,0.75,0.4,0.666666667,0.312524761,0.943127962,0.733333333,-36.01243412,73.08574184,-137.6609602,35.79342378,-0.253478638,-27.48008104,141.3596993,91.38096782
qNet-vmax-APD90-max_dv-carest-CaTD90,0.8125,0.4375,0.75,0.909090909,0.73015873,0.875,0.6,0.428571429,0.75,0.909090909,0.5,0.666666667,6.599938401,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.236349164,0.947867299,0.733333333,-39.00103351,134.8272186,-228.1318992,69.09659646,-62.61673164,23.41244473,77.4372975,66.90968913
qNet-vrest-APD50-APD90-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.20570394,0.928909953,0.733333333,-24.17125116,15.00285163,-47.47873417,43.12408829,-23.61320758,37.48176936,-39.61083103,81.18954824
qNet-vrest-APD90-camax-carest-CaTD50,0.75,0.5625,0.875,0.890909091,0.777777778,0.9375,0.8,0.285714286,0.75,0.727272727,0.833333333,0.833333333,2.933326244,2.999986,5.99997,0.244445368,0.714286,0.272728066,0.714285714,0.444444444,0.75,0.20227343,0.947867299,0.733333333,-2.524265913,36.94292322,-58.50841652,-7.387526512,54.44553975,-148.7490722,164.1445512,-39.06577987
qNet-vrest-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.196959859,0.928909953,0.733333333,-24.67115457,14.85950897,-44.47248443,48.76021469,31.05617797,-16.99602344,-43.46305947,70.79222087
qNet-vrest-max_dv-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.890909091,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.714284286,4.499979,0.440000616,0.60000056,0.25000075,0.666666667,0.615384615,0.727272727,0.189842018,0.938388626,0.733333333,-32.499696,6.843970638,-40.92208116,49.95966808,9.350490861,33.01682746,-71.35221269,157.1702044
qNet-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.927083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.514286297,0.272728066,0.666666667,0.666666667,0.666666667,0.241771985,0.91943128,0.733333333,-16.2944986,22.94482868,-76.72667465,-133.0233905,106.6265237,10.93366066,-8.166507082,21.27194088
qNet-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.535714866,0.272728066,0.666666667,0.666666667,0.727272727,0.208368505,0.928909953,0.733333333,-30.63456608,8.127125081,-74.42786176,-123.7582547,102.2902592,44.51710776,-53.29854677,109.9327179
