Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
qNet-vrest-max_dv-CaTD50,0.8125,0.5,0.8125,0.872727273,0.777777778,0.9375,0.6,0.428571429,0.75,0.818181818,0.6,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.666667056,0.273409885,0.666666667,0.545454545,0.666666667,0.200281671,0.928909953,0.7,-2.025687043,39.43337491,-45.73333184,34.98570298,2.754654872,8.448740424
qNet-vrest-camax-CaTD50,0.8125,0.4375,0.6875,0.872727273,0.746031746,0.854166667,0.6,0.285714286,1,0.909090909,0.666666667,0.583333333,6.599938401,1.49999825,2.39999664,0.440000616,0.833333528,1.71E-06,0.666666667,0.444444444,0.615384615,0.309321298,0.90521327,0.7,-45.32827412,31.36415223,-180.6966751,-16.24713083,-59.77358518,-39.98867616
qNet-APD50-max_dv-camax,0.8125,0.5,0.75,0.854545455,0.80952381,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.666666667,4.3999813,1.785712321,2.999994,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.232883874,0.914691943,0.7,-12.76266412,27.16696208,-64.77588646,-43.70316603,24.3658156,5.940346778
qNet-APD50-max_dv-carest,0.8125,0.5,0.75,0.854545455,0.793650794,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.75,4.3999813,1.785712321,2.999994,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.217405832,0.91943128,0.7,-11.75982832,27.63178533,-63.04808255,-42.55604475,24.47310347,7.583555746
qNet-APD50-max_dv-CaTD50,0.8125,0.5,0.75,0.836363636,0.80952381,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.9999965,2.999994,0.440000616,0.666667056,0.30000084,0.666666667,0.545454545,0.666666667,0.236812124,0.914691943,0.7,-24.3830953,43.79538917,-115.7785228,-72.56731393,49.23050433,-8.800531829
qNet-APD50-max_dv-CaTD90,0.8125,0.5,0.75,0.854545455,0.80952381,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.666666667,4.3999813,1.785712321,2.999994,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.232539668,0.914691943,0.7,-13.03575957,26.17117444,-62.84971174,-35.04623031,22.25842853,-5.92251072
qNet-APD50-camax-carest,0.75,0.5,0.8125,0.836363636,0.746031746,0.90625,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.333332556,3.999988,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.240052368,0.914691943,0.7,-2.900126257,35.86155227,-55.51595343,-7.215587037,-13.15626805,36.3067616
qNet-APD50-carest-CaTD90,0.75,0.5,0.8125,0.854545455,0.714285714,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.333332556,3.999988,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.238772148,0.933649289,0.7,3.624277035,43.37574189,-55.65876759,-36.81202299,71.14279967,40.32117084
qNet-APD90-camax-carest,0.75,0.5,0.8125,0.854545455,0.73015873,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.333332556,3.999988,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.234911295,0.91943128,0.7,-1.339543655,35.93753371,-51.23724213,-3.501626103,-19.31226426,45.24887561
qNet-max_dv-camax-carest,0.75,0.5,0.8125,0.854545455,0.73015873,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.333332556,3.999988,0.488889514,0.816326741,0.30000084,0.6,0.5,0.666666667,0.241606069,0.91943128,0.7,-0.490206745,36.93346155,-51.25529304,-2.774673817,-21.14566062,48.58706746
