Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
vrest-APD90-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.8,0.428571429,0.75,0.818181818,0.625,0.833333333,4.3999813,1.714283571,4.499979,0.244445368,0.685714663,0.30000084,0.727272727,0.545454545,0.666666667,0.216352394,0.928909953,0.733333333,-8.694973704,13.34252388,20.28818937,26.65074554,5.342540925
vrest-max_dv-camax,0.8125,0.5,0.8125,0.927272727,0.777777778,0.9375,0.8,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.49999825,3.999988,0.244445368,0.80000028,0.30000084,0.727272727,0.5,0.666666667,0.245245755,0.924170616,0.733333333,-4.79035361,9.850505029,15.0339131,21.11620359,-4.239733581
vrest-max_dv-carest,0.8125,0.5,0.8125,0.927272727,0.777777778,0.9375,0.8,0.428571429,0.75,0.818181818,0.666666667,0.833333333,4.3999813,1.714283571,4.499979,0.244445368,0.80000028,0.30000084,0.727272727,0.5,0.666666667,0.23184155,0.928909953,0.733333333,-6.161345938,11.56835937,20.65766856,25.63603237,-5.433688869
vrest-max_dv-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761904762,0.9375,0.8,0.285714286,0.75,0.818181818,0.714285714,0.75,4.3999813,1.714281429,3.999988,0.244445368,0.80000028,0.30000084,0.727272727,0.444444444,0.666666667,0.247101708,0.91943128,0.733333333,-4.374131868,8.409267653,11.9030448,14.67194849,2.796074306
vrest-max_dv-CaTD90,0.8125,0.5,0.8125,0.945454545,0.761904762,0.916666667,0.8,0.428571429,0.75,0.818181818,0.6,0.833333333,4.3999813,1.714283571,4.499979,0.244445368,0.685714663,0.30000084,0.727272727,0.545454545,0.666666667,0.225420323,0.933649289,0.733333333,-7.911007394,12.25081571,20.64789871,17.71561787,10.68047558
vrest-camax-CaTD50,0.8125,0.5,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.8,0.75,3.666656889,1.714281429,3.999988,0.244445368,0.857143,0.30000084,0.727272727,0.4,0.666666667,0.269584186,0.909952607,0.733333333,-2.860316669,3.544435889,2.996797982,7.546389663,6.876122398
vrest-camax-CaTD90,0.875,0.5,0.8125,0.945454545,0.746031746,0.885416667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,8.799914201,1.428570571,4.499979,0.4000006,0.642857679,0.30000084,0.75,0.615384615,0.666666667,0.24332837,0.933649289,0.733333333,-17.42117271,12.5044796,28.65611904,20.77425962,42.56909135
vrest-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.428570571,2.999992,0.4000006,0.71428619,0.333334222,0.727272727,0.545454545,0.6,0.2204791,0.933649289,0.733333333,-12.18720328,11.87966774,17.91677898,14.58541592,33.73181267
APD50-camax-carest,0.75,0.5,0.8125,0.927272727,0.714285714,0.916666667,0.8,0.285714286,0.75,0.727272727,0.714285714,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143029,0.30000084,0.666666667,0.363636364,0.666666667,0.28441695,0.90521327,0.733333333,-3.179815254,2.701981342,9.732535726,-9.205912152,8.015141338
APD50-carest-CaTD50,0.75,0.5,0.8125,0.927272727,0.714285714,0.916666667,0.8,0.142857143,0.75,0.727272727,0.8,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.25,0.666666667,0.289820452,0.900473934,0.733333333,-2.758618945,2.204077433,2.954619357,3.242730388,3.259107491
APD90-camax-carest,0.75,0.5,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.714285714,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.283285874,0.90521327,0.733333333,-2.667604451,2.3323109,8.605994479,-8.603073371,7.542669456
APD90-carest-CaTD50,0.75,0.5,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.142857143,0.75,0.727272727,0.833333333,0.75,2.933326244,1.708924349,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.25,0.666666667,0.289192183,0.900473934,0.733333333,-2.607719807,2.129358667,2.644897694,3.280471388,3.291342699
max_dv-carest-CaTD90,0.8734375,0.4375,0.75,0.927272727,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.749431818,0.5,0.6,0.252050953,0.91943128,0.733333333,-19.70636612,3.721499061,-40.35701385,43.65269296,76.84454032
