Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
qNet-dvdtmax-vrest-APD90,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.750000438,0.333334222,0.727272727,0.545454545,0.6,0.242604784,0.924170616,0.733333333,-14.15257727,15.84140995,-27.20995983,-12.64640806,10.95265964,7.404070403
qNet-dvdtmax-vrest-max_dv,0.875,0.4375,0.75,0.945454545,0.698412698,0.84375,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.259089448,0.91943128,0.733333333,-14.46625865,16.98466201,-35.03696508,-19.38590098,9.128367854,-1.501346673
qNet-dvdtmax-vrest-camax,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.256982697,0.91943128,0.733333333,-13.83248958,16.98641802,-33.20843358,-20.86194555,11.25917514,-1.661169788
qNet-dvdtmax-vrest-carest,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000438,0.333334222,0.75,0.571428571,0.6,0.256951252,0.91943128,0.733333333,-14.00729106,16.96986813,-33.67003699,-20.60077088,11.6544554,-1.515311081
qNet-dvdtmax-vrest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.571428571,0.6,0.259245877,0.91943128,0.733333333,-14.23422355,16.66889793,-33.17339728,-18.13572984,9.469859614,0.032294345
qNet-dvdtmax-APD50-APD90,0.8125,0.4375,0.75,0.927272727,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4010006,0.71428619,0.333334222,0.725757576,0.571428571,0.6,0.253209837,0.91943128,0.733333333,-12.31854643,14.95627826,-49.03625528,-23.63964813,-72.09970787,53.12413762
qNet-dvdtmax-APD50-camax,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.262202143,0.914691943,0.733333333,-15.20541626,15.85695768,-41.20386734,-14.99391704,-10.07772844,5.029442998
qNet-dvdtmax-APD50-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.254276714,0.919312796,0.733333333,-14.624332,16.02838756,-39.40318241,-16.34470878,-9.24543638,3.976042359
qNet-dvdtmax-APD50-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.265629668,0.914691943,0.733333333,-16.63758062,15.27976208,-42.45854513,-12.36527234,-0.340492517,-6.043404194
qNet-dvdtmax-APD50-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.253554984,0.914691943,0.733333333,-13.94552414,15.70019556,-41.24457005,-17.63501436,-5.804846009,-5.629056046
