Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
dvdtmax-vmax-APD50-max_dv-camax-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.802083333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.571428571,0.6,0.273287786,0.909952607,0.733333333,-49.41725984,-17.16472035,-133.7605034,81.14961322,-129.5501509,59.28124014,53.59698704,97.9701397
dvdtmax-vmax-APD50-max_dv-carest-CaTD50,0.8125,0.4375,0.75,0.927272727,0.666666667,0.802083333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.5,0.6,0.276108515,0.90521327,0.733333333,-22.2111546,10.99947929,-133.4015253,73.43573798,-75.70517963,42.38957653,15.34262481,28.49497392
dvdtmax-vmax-APD50-max_dv-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.271256261,0.91943128,0.733333333,-38.29753635,-6.334803277,-124.8315924,63.89802805,-89.96824996,34.88796277,35.03911187,77.85141327
dvdtmax-vmax-APD50-max_dv-CaTD50-CaTD90,0.8125,0.4375,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.5,0.6,0.258561981,0.914691943,0.733333333,-41.52445024,-10.53761771,-123.0807204,76.66418785,-33.90242701,48.12452874,-10.32712393,30.07234554
dvdtmax-vmax-APD50-camax-carest-CaTD90,0.875,0.4375,0.75,0.927272727,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.263238076,0.924170616,0.733333333,-33.55788525,-2.963274429,-90.96610435,40.94262667,-50.1715794,-11.43632493,48.44095211,78.38163043
dvdtmax-vmax-APD50-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.927272727,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.259748174,0.924170616,0.733333333,-40.60510858,-10.31173593,-86.99212961,40.47365556,-54.95330592,45.18768314,-8.158191683,101.988132
dvdtmax-vmax-APD90-max_dv-camax-carest,0.875,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.260785753,0.924170616,0.733333333,-27.33819281,3.493020539,-90.41339968,47.20177269,58.83261677,-23.38323203,-50.97284671,37.60798
dvdtmax-vmax-max_dv-camax-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.5,0.6,0.261478237,0.914691943,0.733333333,-25.49042757,5.796624224,-104.8449756,56.78423597,20.51588337,-41.5744782,29.86534555,0.08814132
dvdtmax-vmax-max_dv-camax-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.5,0.6,0.277163152,0.914691943,0.733333333,-25.70558028,5.801283782,-101.7807207,54.38246537,16.33025987,-40.9160754,32.5339359,5.04248209
dvdtmax-vmax-max_dv-camax-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.8125,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.263876986,0.914691943,0.733333333,-59.4222789,-29.84647821,-96.31144403,66.40618574,36.06375672,2.410789159,-46.65310325,82.8338176
